% LIQUIDITY FACTOR OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2013			
% 			
% Column 1: Month 			
% Column 2: Levels of aggregate liquidity (Figure 1; equation (5))			
% Column 3: Innovations in aggregate liquidity (non-traded liquidity factor; equation (8); the main series)			
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)			
%			
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical 			
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study),			
% and through 2013 it is similarly successful at creating a spread in post-ranking betas. The traded			
% factor has a positive and significant alpha through 2013, consistent with liquidity risk being priced.			
%			
% Month	Agg Liq. (eq5)	Innov Liq (eq8)	Traded Liq (LIQ_V)

196208	-0.017627253	0.004329826	-99
196209	-0.004085483	0.013518034	-99
196210	-0.104229891	-0.072595301	-99
196211	-0.019620252	0.030973926	-99
196212	-0.005288012	0.014779172	-99
196301	-0.055790672	0.011711929	-99
196302	0.014402543	0.027714666	-99
196303	-0.023372166	-0.018708041	-99
196304	0.054126597	0.079976796	-99
196305	0.003541092	-0.011725728	-99
196306	0.009591518	0.001493525	-99
196307	0.014324982	0.02208217	-99
196308	0.033767399	0.040269337	-99
196309	-0.007538195	0.021514475	-99
196310	0.02680561	0.034198811	-99
196311	-0.053130346	-0.058536018	-99
196312	-0.020570904	0.015522011	-99
196401	-0.071359366	-0.053335223	-99
196402	-0.0247466	0.015097805	-99
196403	0.031386002	0.043632214	-99
196404	-0.04066383	-0.026169597	-99
196405	-0.025722419	-0.004382887	-99
196406	-0.056559794	-0.008775452	-99
196407	0.058182491	0.058164328	-99
196408	-0.048509276	-0.043094792	-99
196409	-0.008161616	0.014805747	-99
196410	0.012932947	0.039931642	-99
196411	0.014885003	-0.002670145	-99
196412	-0.02672873	-0.011919462	-99
196501	0.037920508	0.072047655	-99
196502	-0.016425606	0.023144622	-99
196503	0.033963327	0.019067504	-99
196504	0.022358717	0.042222582	-99
196505	-0.012941827	0.035428562	-99
196506	-0.163392854	-0.111187643	-99
196507	-0.08096848	-0.046911716	-99
196508	-0.034744624	0.074004396	-99
196509	0.026999793	0.06339633	-99
196510	0.006197337	-0.023868014	-99
196511	0.044465972	0.068315807	-99
196512	0.040876306	0.025279338	-99
196601	0.039968854	0.023576098	-99
196602	0.035016761	0.047051044	-99
196603	-0.066238824	-0.063883028	-99
196604	0.026812452	0.056813512	-99
196605	-0.121194404	-0.076515572	-99
196606	-0.053360838	-0.010266001	-99
196607	-0.032997534	0.009198933	-99
196608	-0.10665391	-0.084586746	-99
196609	-0.08781642	-0.042978226	-99
196610	-0.206519452	-0.082649112	-99
196611	-0.054098778	0.051007567	-99
196612	-0.023814897	0.046242255	-99
196701	-0.027405442	0.012966038	-99
196702	-0.07257262	0.016204314	-99
196703	-0.008628792	0.036748477	-99
196704	-0.001526762	0.020658866	-99
196705	0.01392071	0.025726107	-99
196706	-0.06197855	-0.047058813	-99
196707	-0.028372898	0.015968752	-99
196708	0.029069793	0.071247151	-99
196709	0.023541225	0.031511077	-99
196710	-0.030537222	-0.040213489	-99
196711	-0.030663795	-0.009675588	-99
196712	0.001591165	0.035485418	-99
196801	-0.021520523	0.003798138	-0.020892751
196802	-0.034595809	-0.01733886	0.022073532
196803	-0.116931838	-0.080454396	0.010561832
196804	0.022450908	0.089860078	0.008742289
196805	-0.020611245	0.011005298	-0.017811107
196806	0.008224888	0.034472075	0.000361029
196807	-0.010495543	0.009661178	-0.036057458
196808	-0.020198654	-0.006824254	0.005968284
196809	-0.008706623	0.016133403	0.009866416
196810	0.006605193	0.027986138	-0.001083318
196811	-0.000225964	0.017239541	-0.009142032
196812	-0.028572054	-0.009024849	0.012022735
196901	-0.033784758	-0.005766206	0.022415343
196902	-0.025028028	0.012844625	0.05730402
196903	-0.022565304	0.008310033	-0.015186961
196904	-0.012528958	0.010760213	0.015200954
196905	0.011488125	0.047364891	0.008663908
196906	-0.047358946	-0.037472617	0.057603871
196907	-0.122444028	-0.089533482	0.03232117
196908	-0.087129504	-0.043024854	-0.012760972
196909	0.013156871	0.091116878	0.020723512
196910	-0.060644336	-0.024919841	-0.059202497
196911	0.016293009	0.042113344	0.031732891
196912	-0.019720936	-0.02363484	0.026402553
197001	-0.110173381	-0.065712456	0.02112288
197002	-0.081388086	-0.008150809	-0.054682738
197003	-0.138437526	-0.062706101	0.002420451
197004	-0.094261287	-0.027728422	0.040201197
197005	-0.240558562	-0.195324844	-0.077147995
197006	-0.187612336	-0.135703278	-0.033266361
197007	-0.013782635	0.065690563	-0.002497175
197008	-0.066604502	0.008437069	0.000257556
197009	-0.066822888	-0.012516426	-0.01664897
197010	0.096239916	0.098049569	-0.015394011
197011	-0.059825074	-0.04520042	-0.00483046
197012	-0.073008798	-0.013293658	0.048682921
197101	0.017755938	0.044598512	-0.046709163
197102	-0.064480661	-0.036050753	-0.011862921
197103	0.031698493	0.064201631	0.015863635
197104	-0.009982746	0.007754405	0.027683706
197105	-0.019406459	-0.024715318	0.011454419
197106	-0.044140681	-0.010693655	-0.029699577
197107	-0.101409812	-0.031374224	0.001183329
197108	-0.04506365	-0.005692333	0.027211918
197109	0.019807744	0.062113625	0.005094309
197110	-0.056367665	-0.011457545	0.040043327
197111	-0.091977306	-0.035767871	0.007584999
197112	0.00849982	0.048750427	-0.002679788
197201	-0.094112914	-0.080538459	-0.033743274
197202	-0.030595308	0.019060608	0.009939841
197203	-0.011371745	0.02583327	0.033091154
197204	-0.002956203	0.019502024	0.015085179
197205	-0.064446317	-0.04163036	-0.001481258
197206	0.006107311	0.005104628	0.013726388
197207	-0.08958325	-0.065794837	0.016229716
197208	0.014350504	0.024036248	-0.031049819
197209	-0.018951562	0.027301592	-0.014889735
197210	-0.039857779	-0.021931358	-0.015453609
197211	-0.016865767	-0.030714332	-0.007762048
197212	-0.073530578	-0.034008861	0.008821112
197301	-0.056352759	-0.025787642	-0.014858086
197302	-0.048319001	0.027998998	-0.01091379
197303	-0.030718751	-0.012959573	-0.012799924
197304	-0.040650607	-0.009006678	0.023191603
197305	-0.11566844	-0.063306993	-0.00294238
197306	-0.199889288	-0.1628228	-0.032431208
197307	-0.096582013	-0.007829905	0.002582805
197308	-0.097435637	-0.027261665	0.015779524
197309	-0.121543296	-0.000195873	0.017045213
197310	-0.053238019	0.024603645	-0.04302758
197311	-0.300163745	-0.237248707	-0.026586581
197312	-0.13413745	-0.07969148	-0.01694581
197401	-0.162189172	-0.068522015	0.101318032
197402	-0.120028221	-0.053952099	0.039670348
197403	-0.001286667	0.114782915	0.043549255
197404	-0.041920825	0.001540172	0.022131511
197405	-0.101753842	-0.08234276	0.061045419
197406	-0.069363139	-0.063239454	-0.007755686
197407	-0.231121871	-0.134903017	-0.00460426
197408	-0.101842067	-0.061848872	-0.031422272
197409	-0.110298281	-0.066303121	0.023200311
197410	-0.085646798	0.007671151	-0.073523006
197411	-0.083564545	0.034235651	-0.025351189
197412	-0.104666031	-0.04187772	0.019079861
197501	-0.113622803	-0.075424434	0.10827995
197502	-0.075727911	0.019193594	0.037053744
197503	-0.130484163	0.006199635	0.060094361
197504	7.97E-05	3.52E-02	0.001324092
197505	-0.066735432	-0.011360433	-0.028674225
197506	0.023377436	0.025731486	-0.01416778
197507	-0.059402694	-0.02601472	-0.007415209
197508	-0.127523121	-0.119653447	-0.010687388
197509	-0.089978793	-0.051567425	-0.015319912
197510	-0.064972768	0.026099338	0.089329308
197511	0.007609221	0.028475208	0.03543367
197512	-0.024581841	-0.019816013	-0.000583791
197601	-0.060278465	-0.032744401	0.01834159
197602	-0.018513659	0.052507215	-0.041167573
197603	-0.018564972	0.009167016	-0.014990479
197604	-0.030321213	-0.04855381	-0.020685058
197605	-0.090128	-0.086347506	-0.039714108
197606	-0.064945927	-0.021630936	-0.00685273
197607	-0.091403456	-0.053078799	-0.027958705
197608	-0.01440666	0.032898463	0.016883907
197609	-0.037756972	0.018577438	-0.015789182
197610	-0.087291914	-0.043040041	0.005868334
197611	-0.081945316	-0.021019982	-0.025099939
197612	-0.025285674	0.056045864	-0.011312188
197701	-0.062479771	-0.044396287	-0.031305555
197702	-0.000435197	0.0378341	-0.010064777
197703	-0.056292351	0.032783493	0.010646436
197704	-0.01072424	-0.008742257	-0.027604596
197705	-0.03332807	-0.012656626	0.015943407
197706	-0.008645491	0.018342665	0.022449209
197707	-0.048158005	-0.012514955	0.001167172
197708	-0.0475812	0.006698488	0.030713639
197709	-0.047210173	-0.018549361	0.011497574
197710	-0.033288915	-0.000634103	-0.01304346
197711	-0.012713391	0.029737548	0.004861031
197712	0.019317685	0.035422964	-0.006193707
197801	-0.042218779	-0.005616264	0.005290181
197802	-0.019297252	0.014697279	-0.001978663
197803	-0.010491407	0.004328131	0.016379695
197804	-0.0078029	0.02059525	0.034562452
197805	0.018013515	0.023199975	0.011628716
197806	0.010747892	0.015144659	0.009079551
197807	-0.043481563	-0.034010696	0.027464859
197808	0.020908268	0.038789602	-0.001042025
197809	-0.005565764	-0.010369226	-0.026364863
197810	-0.108156643	-0.099687458	0.044412279
197811	-0.075025642	-0.029332657	-0.035608554
197812	-0.033950702	0.037576127	0.00197454
197901	-0.014406977	0.025665494	-0.009835082
197902	-0.03296287	0.008747586	-0.028181332
197903	-0.043782043	0.023051063	-0.005569935
197904	0.004782129	0.05623798	0.016530843
197905	-0.080995007	-0.045452248	-0.021702713
197906	-0.011874814	0.025413912	-0.016358543
197907	0.022647808	0.062029789	-0.015944995
197908	0.013034643	0.037575033	0.015613965
197909	-0.074245626	-0.061737201	-0.013033767
197910	-0.154441152	-0.101492975	0.002306348
197911	-0.038538297	0.009365643	-0.066105338
197912	-0.009221364	0.025513345	-0.017383095
198001	-0.059578401	-0.018066132	0.00089557
198002	-0.097828472	-0.040859355	0.01817804
198003	-0.141922484	-0.085166338	0.029781926
198004	-0.051168402	-0.028418162	-0.010888514
198005	0.032840945	0.079951336	-0.008177903
198006	-0.01566578	0.003413082	0.011048867
198007	-0.035191893	-0.014703242	-0.008407886
198008	0.007234324	0.054458657	0.012491962
198009	-0.047583092	-0.016202921	0.015072075
198010	-0.012388416	0.037165584	0.026773995
198011	-0.024230795	0.004171175	0.028132125
198012	-0.056394536	-0.011585119	0.027974165
198101	-0.02295443	0.00547084	0.039945278
198102	-0.007594046	0.002154298	0.000607384
198103	-0.021365687	0.015277722	0.017587569
198104	-0.028108019	0.011783216	-0.013760098
198105	0.007373008	0.030297326	-0.02082504
198106	0.001685314	0.032161338	0.057371684
198107	-0.017633546	0.012586856	-0.015741844
198108	-0.076556277	-0.041834649	-0.004098361
198109	-0.152823526	-0.118451968	0.094349929
198110	-0.04560095	5.01E-05	-0.02065542
198111	-0.031551085	-0.012274206	0.062938763
198112	-0.023609596	0.028456489	-0.00073682
198201	-0.069967468	-0.057251401	-0.021258595
198202	-0.122290156	-0.079460804	-0.012945841
198203	-0.03094834	0.011142533	0.041993687
198204	0.004820028	0.044880594	-0.023657884
198205	-0.002518959	-0.006595141	0.02927402
198206	-0.012278994	0.022328165	0.049721082
198207	0.012591081	0.019053861	-0.015766171
198208	-0.057557817	-0.034920996	-0.00530724
198209	-0.025629974	0.026596994	0.043580276
198210	-0.041616836	-0.005158785	-0.040512303
198211	-0.004942483	0.029489383	0.008891345
198212	0.000640026	0.030880102	-0.030748144
198301	-0.029697305	0.003366009	-0.054076718
198302	0.008459778	0.041009499	-0.030304071
198303	-0.047792845	-0.025347509	0.040400903
198304	-0.004349244	0.027564849	0.03818274
198305	-0.079088809	-0.045962374	0.020175932
198306	-0.000570436	0.053115497	0.000324873
198307	-0.048127228	-0.025471977	0.048484505
198308	-0.040696121	-0.006752559	0.043086275
198309	-0.023968404	0.026731913	0.011669056
198310	0.035982672	0.063620573	0.055823013
198311	0.014443808	0.051649701	-0.073641953
198312	-0.03257912	0.016941552	0.04896063
198401	-0.025235768	-0.003335682	0.066812216
198402	-0.042120287	-0.025769998	0.007606859
198403	-0.009820677	0.032249084	0.004704511
198404	-0.084359871	-0.046253021	0.008343428
198405	0.006224684	0.047180361	0.023845812
198406	-0.016115448	0.025731786	-0.004010062
198407	-0.025851919	0.014292884	0.017499924
198408	0.002582936	0.034870149	-0.027393686
198409	-0.017693605	0.013198886	0.025093085
198410	-0.031042883	-0.011162326	-0.005784124
198411	-0.002790881	0.007909597	0.015994611
198412	-0.03456874	0.000379461	-0.004252622
198501	-0.008422875	0.019419664	-0.018037667
198502	-0.014163286	0.007491112	0.028679288
198503	0.007210328	0.009086131	0.034412572
198504	0.009185502	0.031304041	0.036089881
198505	-0.000123605	0.024587168	-0.008777796
198506	-0.006800566	-0.000319905	0.004329084
198507	-0.01838076	0.026724696	-0.011624845
198508	0.028969314	0.038606551	0.026345253
198509	-0.022411428	-0.008583819	0.010978402
198510	-0.016608705	-0.008903146	0.049047925
