Monthly,,
,Mkt-RF,RF
195001,1.7,0.09
195002,1.48,0.09
195003,1.26,0.1
195004,3.94,0.09
195005,4.31,0.1
195006,-5.94,0.1
195007,1.36,0.1
195008,4.85,0.1
195009,4.81,0.1
195010,-0.18,0.12
195011,2.76,0.11
195012,5.54,0.11
195101,5.7,0.13
195102,1.41,0.1
195103,-2.15,0.11
195104,4.86,0.13
195105,-2.34,0.12
195106,-2.62,0.12
195107,6.94,0.13
195108,4.27,0.13
195109,0.7,0.12
195110,-2.53,0.16
195111,0.57,0.11
195112,3.33,0.12
195201,1.45,0.15
195202,-2.62,0.12
195203,4.44,0.11
195204,-4.97,0.12
195205,3.2,0.13
195206,3.83,0.15
195207,0.91,0.15
195208,-0.76,0.15
195209,-2.03,0.16
195210,-0.66,0.14
195211,5.94,0.1
195212,2.93,0.16
195301,-0.34,0.16
195302,-0.27,0.14
195303,-1.43,0.18
195304,-2.83,0.16
195305,0.52,0.17
195306,-1.89,0.18
195307,2.4,0.15
195308,-4.52,0.17
195309,0.2,0.16
195310,4.6,0.13
195311,2.83,0.08
195312,0.03,0.13
195401,5.13,0.11
195402,1.67,0.07
195403,3.65,0.08
195404,4.27,0.09
195405,3.09,0.05
195406,1.07,0.06
195407,4.99,0.05
195408,-2.34,0.05
195409,6.39,0.09
195410,-1.67,0.07
195411,9.38,0.06
195412,5.48,0.08
195501,0.6,0.08
195502,3.02,0.09
195503,-0.16,0.1
195504,3.11,0.1
195505,0.93,0.14
195506,6.55,0.1
195507,1.9,0.1
195508,0.21,0.16
195509,-0.36,0.16
195510,-2.68,0.18
195511,7.03,0.17
195512,1.49,0.18
195601,-3.03,0.22
195602,3.77,0.19
195603,6.64,0.15
195604,0.28,0.19
195605,-5.2,0.23
195606,3.48,0.2
195607,4.84,0.22
195608,-3.18,0.17
195609,-5.14,0.18
195610,0.52,0.25
195611,0.36,0.2
195612,3.16,0.24
195701,-3.58,0.27
195702,-2.06,0.24
195703,2.13,0.23
195704,4.26,0.25
195705,3.45,0.26
195706,-0.74,0.24
195707,0.66,0.3
195708,-5.11,0.25
195709,-5.98,0.26
195710,-4.32,0.29
195711,2.3,0.28
195712,-3.91,0.24
195801,4.66,0.28
195802,-1.52,0.12
195803,3.27,0.09
195804,3.09,0.08
195805,2.31,0.11
195806,2.93,0.03
195807,4.39,0.07
195808,1.91,0.04
195809,4.66,0.19
195810,2.53,0.18
195811,3.01,0.11
195812,5.15,0.22
195901,0.71,0.21
195902,0.95,0.19
195903,0.28,0.22
195904,3.66,0.2
195905,1.73,0.22
195906,-0.25,0.25
195907,3.17,0.25
195908,-1.39,0.19
195909,-4.8,0.31
195910,1.28,0.3
195911,1.6,0.26
195912,2.45,0.34
196001,-6.98,0.33
196002,1.17,0.29
196003,-1.63,0.35
196004,-1.71,0.19
196005,3.12,0.27
196006,2.08,0.24
196007,-2.37,0.13
196008,3.01,0.17
196009,-5.99,0.16
196010,-0.71,0.22
196011,4.69,0.13
196012,4.71,0.16
196101,6.2,0.19
196102,3.57,0.14
196103,2.89,0.2
196104,0.29,0.17
196105,2.4,0.18
196106,-3.08,0.2
196107,2.83,0.18
196108,2.57,0.14
196109,-2.15,0.17
196110,2.57,0.19
196111,4.45,0.15
196112,-0.18,0.19
196201,-3.87,0.24
196202,1.81,0.2
196203,-0.68,0.2
196204,-6.59,0.22
196205,-8.65,0.24
196206,-8.47,0.2
196207,6.28,0.27
196208,2.13,0.23
196209,-5.22,0.21
196210,-0.05,0.25
196211,10.87,0.2
196212,1.01,0.23
196301,4.93,0.25
196302,-2.38,0.23
196303,3.08,0.23
196304,4.51,0.25
196305,1.76,0.24
196306,-2,0.23
196307,-0.39,0.27
196308,5.07,0.25
196309,-1.57,0.27
196310,2.53,0.29
196311,-0.85,0.27
196312,1.83,0.29
196401,2.24,0.3
196402,1.54,0.26
196403,1.41,0.31
196404,0.1,0.29
196405,1.42,0.26
196406,1.27,0.3
196407,1.74,0.3
196408,-1.44,0.28
196409,2.69,0.28
196410,0.59,0.29
196411,0,0.29
196412,0.03,0.31
196501,3.54,0.28
196502,0.44,0.3
196503,-1.34,0.36
196504,3.11,0.31
196505,-0.77,0.31
196506,-5.51,0.35
196507,1.43,0.31
196508,2.73,0.33
196509,2.86,0.31
196510,2.6,0.31
196511,-0.03,0.35
196512,1.01,0.33
196601,0.72,0.38
196602,-1.21,0.35
196603,-2.51,0.38
196604,2.14,0.34
196605,-5.66,0.41
196606,-1.44,0.38
196607,-1.63,0.35
196608,-7.91,0.41
196609,-1.06,0.4
196610,3.86,0.45
196611,1.4,0.4
196612,0.13,0.4
196701,8.15,0.43
196702,0.78,0.36
196703,3.99,0.39
196704,3.89,0.32
196705,-4.33,0.33
196706,2.41,0.27
196707,4.58,0.31
196708,-0.89,0.31
196709,3.11,0.32
196710,-3.09,0.39
196711,0.37,0.36
196712,3.05,0.33
196801,-4.06,0.4
196802,-3.75,0.39
196803,0.2,0.38
196804,9.05,0.43
196805,2.28,0.45
196806,0.69,0.43
196807,-2.72,0.48
196808,1.34,0.42
196809,4.03,0.43
196810,0.42,0.44
196811,5.43,0.42
196812,-3.94,0.43
196901,-1.25,0.53
196902,-5.84,0.46
196903,2.64,0.46
196904,1.46,0.53
196905,-0.1,0.48
196906,-7.18,0.51
196907,-7,0.53
196908,4.68,0.5
196909,-2.98,0.62
196910,5.06,0.6
196911,-3.79,0.52
196912,-2.63,0.64
197001,-8.1,0.6
197002,5.13,0.62
197003,-1.06,0.57
197004,-11,0.5
197005,-6.92,0.53
197006,-5.79,0.58
197007,6.93,0.52
197008,4.49,0.53
197009,4.18,0.54
197010,-2.28,0.46
197011,4.59,0.46
197012,5.72,0.42
197101,4.84,0.38
197102,1.41,0.33
197103,4.13,0.3
197104,3.15,0.28
197105,-3.98,0.29
197106,-0.1,0.37
197107,-4.5,0.4
197108,3.79,0.47
197109,-0.85,0.37
197110,-4.42,0.37
197111,-0.46,0.37
197112,8.71,0.37
197201,2.49,0.29
197202,2.87,0.25
197203,0.63,0.27
197204,0.29,0.29
197205,1.25,0.3
197206,-2.43,0.29
197207,-0.8,0.31
197208,3.26,0.29
197209,-1.14,0.34
197210,0.52,0.4
197211,4.6,0.37
197212,0.62,0.37
197301,-3.29,0.44
197302,-4.85,0.41
197303,-1.3,0.46
197304,-5.68,0.52
197305,-2.94,0.51
197306,-1.56,0.51
197307,5.05,0.64
197308,-3.82,0.7
197309,4.75,0.68
197310,-0.83,0.65
197311,-12.75,0.56
197312,0.61,0.64
197401,-0.17,0.63
197402,-0.47,0.58
197403,-2.81,0.56
197404,-5.29,0.75
197405,-4.68,0.75
197406,-2.83,0.6
197407,-8.05,0.7
197408,-9.35,0.6
197409,-11.77,0.81
197410,16.1,0.51
197411,-4.51,0.54
197412,-3.45,0.7
197501,13.66,0.58
197502,5.56,0.43
197503,2.66,0.41
197504,4.23,0.44
197505,5.19,0.44
197506,4.83,0.41
197507,-6.59,0.48
197508,-2.85,0.48
197509,-4.26,0.53
197510,5.31,0.56
197511,2.64,0.41
197512,-1.6,0.48
197601,12.16,0.47
197602,0.32,0.34
197603,2.32,0.4
197604,-1.49,0.42
197605,-1.34,0.37
197606,4.05,0.43
197607,-1.07,0.47
197608,-0.56,0.42
197609,2.07,0.44
197610,-2.42,0.41
197611,0.36,0.4
197612,5.65,0.4
197701,-4.05,0.36
197702,-1.94,0.35
197703,-1.37,0.38
197704,0.15,0.38
197705,-1.45,0.37
197706,4.71,0.4
197707,-1.69,0.42
197708,-1.75,0.44
197709,-0.27,0.43
197710,-4.38,0.49
197711,4,0.5
197712,0.27,0.49
197801,-6.01,0.49
197802,-1.38,0.46
197803,2.85,0.53
197804,7.88,0.54
197805,1.76,0.51
197806,-1.69,0.54
197807,5.11,0.56
197808,3.75,0.56
197809,-1.43,0.62
197810,-11.91,0.68
197811,2.71,0.7
197812,0.88,0.78
197901,4.23,0.77
197902,-3.56,0.73
197903,5.68,0.81
197904,-0.06,0.8
197905,-2.21,0.82
197906,3.85,0.81
197907,0.82,0.77
197908,5.53,0.77
197909,-0.82,0.83
197910,-8.1,0.87
197911,5.21,0.99
197912,1.79,0.95
198001,5.51,0.8
198002,-1.22,0.89
198003,-12.9,1.21
198004,3.97,1.26
198005,5.26,0.81
198006,3.06,0.61
198007,6.49,0.53
198008,1.8,0.64
198009,2.19,0.75
198010,1.06,0.95
198011,9.59,0.96
198012,-4.52,1.31
198101,-5.04,1.04
198102,0.57,1.07
198103,3.56,1.21
198104,-2.11,1.08
198105,0.11,1.15
198106,-2.36,1.35
198107,-1.54,1.24
198108,-7.04,1.28
